PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
6,2017,36,Demi Lovato,Sorry Not Sorry,4
6,2000,20,Erykah Badu,Bag Lady,3
6,2018,5,J. Cole,ATM,2
6,2001,56,Faith Hill,The Way You Love Me,1
6,2007,49,Nickelback,Rockstar,1
6,2018,48,Dua Lipa,New Rules,4
6,2007,21,Rich Boy,Throw Some D's,0
6,2009,27,Lady Gaga,Paparazzi,1
6,2017,20,Kodak Black,Tunnel Vision,0
6,2017,41,Sam Hunt,Body Like A Back Road,3
6,2017,34,Shawn Mendes,There's Nothing Holdin' Me Back,4
6,2007,23,Huey,"Pop, Lock & Drop It",1
6,2012,29,Jessie J,Domino,4
6,2005,27,Green Day,Wake Me Up When September Ends,0
6,2004,20,Twista,Overnight Celebrity,4
6,2008,23,Lil Wayne,A Milli,4
6,2004,18,D12,My Band,1
6,2014,20,Selena Gomez,The Heart Wants What It Wants,4
6,2005,28,Sean Paul,We Be Burnin',1
6,2005,19,50 Cent,Outta Control,2
6,2010,20,Taylor Swift,Back To December,1
6,2014,31,Jeremih,Don't Tell 'Em,3
6,2015,32,Taylor Swift,Style,1
6,2004,27,Jagged Edge,Walked Outta Heaven,2
6,2013,22,Drake,Started From The Bottom,2
6,2018,37,Camila Cabello,Never Be The Same,1
6,2004,21,Ludacris,Splash Waterfalls,4
6,2013,61,Imagine Dragons,Demons,1
6,2014,38,Lorde,Team,2
6,2013,32,One Direction,Story Of My Life,3
6,2005,34,Rob Thomas,Lonely No More,4
6,2004,46,Kelly Clarkson,Breakaway,0
6,2014,22,Maroon 5,Maps,1
6,2005,34,Kelly Clarkson,Behind These Hazel Eyes,0
6,2004,19,Eminem,Just Lose It,4
6,2016,14,Drake,Summer Sixteen,3
6,2012,29,Justin Bieber,As Long As You Love Me,1
6,2012,22,Taylor Swift,Red,1
6,2006,20,Christina Aguilera,Ain't No Other Man,4
6,2006,20,Rihanna,Unfaithful,3
6,2002,34,Creed,One Last Breath,1
6,2012,39,Neon Trees,Everybody Talks,0
6,2008,76,Jason Mraz,I'm Yours,2
6,2010,29,Mike Posner,Cooler Than Me,4
6,2006,21,Eminem,Shake That,1
6,2013,33,Swedish House Mafia,Don't You Worry Child,1
6,2010,24,Lil Wayne,Right Above It,1
6,2011,15,Wiz Khalifa,No Sleep,4
6,2011,27,Chris Brown,Look At Me Now,2
6,2006,26,Red Hot Chili Peppers,Dani California,1
6,2012,21,Flo Rida,I Cry,4
6,2003,20,Snoop Dogg,Beautiful,4
6,2015,31,Rachel Platten,Fight Song,0
6,2013,40,Phillip Phillips,Home,1
6,2006,51,Rascal Flatts,What Hurts The Most,0
6,2006,25,Nick Lachey,What's Left Of Me,0
6,2009,20,Linkin Park,New Divide,0
