PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
4,2017,0,Harry Styles,Sign Of The Times,0,81,,13
5,2017,0,Rihanna,Love On The Brain,0,80,,31
1,2010,0,Bruno Mars,Just The Way You Are,0,80,,48
1,2008,51,Coldplay,Viva La Vida,0,79,,51
5,2003,0,Evanescence,Bring Me To Life,0,79,,32
10,2015,0,Fall Out Boy,Centuries,0,79,,34
6,2015,0,Rachel Platten,Fight Song,0,79,,31
4,2016,0,Ariana Grande,Side To Side,0,78,,28
1,2002,0,Nickelback,How You Remind Me,0,78,,49
10,2014,0,Coldplay,A Sky Full Of Stars,0,77,,26
10,2017,0,Miley Cyrus,Malibu,0,77,,15
7,2007,0,Linkin Park,What I've Done,0,76,,23
6,2005,0,Green Day,Wake Me Up When September Ends,0,76,,27
5,2005,62,Lifehouse,You And Me,0,75,,62
1,2013,0,Katy Perry,Roar,0,75,,35
1,2014,57,Katy Perry,Dark Horse,0,75,,57
8,2013,0,Zedd,Clarity,0,74,,33
10,2006,0,Panic! At The Disco,I Write Sins Not Tragedies,0,74,,37
8,2007,64,Carrie Underwood,Before He Cheats,0,74,,64
4,2014,0,Ariana Grande,Break Free,0,74,,22
7,2009,0,The Fray,You Found Me,0,74,,39
2,2005,0,Green Day,Boulevard Of Broken Dreams,0,74,,36
6,2017,0,Kodak Black,Tunnel Vision,0,74,,20
1,2007,0,Avril Lavigne,Girlfriend,0,74,,24
3,2013,87,Imagine Dragons,Radioactive,0,72,,87
4,2003,0,Avril Lavigne,I'm With You,0,70,,27
2,2009,0,Taylor Swift,You Belong With Me,0,70,,50
8,2006,0,Nickelback,Far Away,0,70,,30
6,2006,51,Rascal Flatts,What Hurts The Most,0,70,,51
7,2004,0,Nickelback,Someday,0,69,,50
6,2009,0,Linkin Park,New Divide,0,69,,20
1,2006,0,Rihanna,SOS,0,69,,28
4,2009,0,Miley Cyrus,The Climb,0,69,,28
9,2007,0,P!nk,Who Knew,0,69,,36
1,2011,0,Lady Gaga,Born This Way,0,68,,20
2,2012,0,Katy Perry,Wide Awake,0,68,,26
8,2005,0,Coldplay,Speed Of Sound,0,68,,20
10,2011,0,DJ Khaled,I'm On One,0,67,,23
5,2001,0,Staind,It's Been Awhile,0,67,,46
1,2009,0,Kelly Clarkson,My Life Would Suck Without You,0,66,,24
3,2009,0,Keri Hilson,Knock You Down,0,66,,31
8,2016,0,Kent Jones,Don't Mind,0,66,,20
1,2015,0,Taylor Swift,Bad Blood,0,65,,25
3,2014,0,Iggy Azalea,Black Widow,0,65,,30
3,2019,0,Mariah Carey,All I Want For Christmas Is You,0,64,,30
10,2010,0,Adam Lambert,Whataya Want From Me,0,64,,30
6,2004,0,Kelly Clarkson,Breakaway,0,64,,46
8,2002,0,"DJ Sammy, Yanou",Heaven,0,64,,27
10,2012,0,Chris Brown,Don't Wake Me Up,0,63,,28
8,2000,0,Sonique,It Feels So Good,0,61,,24
5,2011,0,Lil Wayne,How To Love,0,61,,24
3,2004,0,Alicia Keys,You Don't Know My Name,0,61,,20
4,2007,0,Daughtry,It's Not Over,0,60,,29
7,2017,0,Lil Uzi Vert,XO TOUR Llif3,0,60,,34
10,2001,0,Destiny's Child,Emotion,0,59,,20
9,1999,0,Len,Steal My Sunshine,0,58,,25
9,2003,0,Kelly Clarkson,Miss Independent,0,58,,20
5,2007,0,Daughtry,Home,0,56,,37
